,ParcelID,ActualYear,TotalFinis,SaleAmount,NumberBeds,year,month,year-month,price_SF,geometry,DISTRICTID,GEOID,ZONE
8,077G802,1992,2058,314900,4,2023,3,2023-3,153.0126336,POINT (677122.1691995341 1285083.3715581084),1,13073030105,PUD
12,077G806,1991,1968,187000,3,2018,6,2018-6,95.0203252,POINT (676873.203443418 1285226.2241749312),1,13073030105,PUD
14,077G808,1992,2461,295000,3,2023,10,2023-10,119.8699716,POINT (676612.6220095238 1285305.599858584),1,13073030105,PUD
15,077G809,1991,2287,224900,3,2019,7,2019-7,98.33843463,POINT (676525.0920571159 1285370.3851896643),1,13073030105,PUD
22,077G819,2012,3559,315800,4,2020,5,2020-5,88.73279011,POINT (676514.2146184781 1285969.6835764006),1,13073030105,PUD
26,077G824,1990,2198,285500,4,2021,6,2021-6,129.8908098,POINT (676554.8660762399 1285583.882861105),1,13073030105,PUD
29,077G827,1996,2287,289000,4,2023,3,2023-3,126.3664189,POINT (676777.8821475223 1285651.4107363885),1,13073030105,PUD
33,077G831,2002,2974,217000,4,2019,11,2019-11,72.96570276,POINT (676983.8601017994 1285923.0200155305),1,13073030105,PUD
35,077G833,2003,2588,267000,4,2021,9,2021-9,103.1684699,POINT (677134.7577386365 1285984.2808179113),1,13073030105,PUD
36,077G834,2003,2697,244900,5,2019,2,2019-2,90.8045977,POINT (677189.4635949011 1286035.8142946055),1,13073030105,PUD
37,077G835,1991,2276,245000,4,2020,6,2020-6,107.6449912,POINT (677335.3579741473 1285886.8421521995),1,13073030105,PUD
38,077G836,1991,2822,360000,4,2022,9,2022-9,127.5690999,POINT (677205.2114620494 1285760.059795351),1,13073030105,PUD
44,077G842,1992,2880,239900,3,2018,12,2018-12,83.29861111,POINT (677062.023886524 1285376.65670775),1,13073030105,PUD
47,077G845,1990,2476,299900,5,2022,2,2022-2,121.1227787,POINT (677269.7099421956 1285197.8515480177),1,13073030105,PUD
51,077H186,1988,3890,444250,4,2019,2,2019-2,114.2030848,POINT (676266.6597230652 1292749.816668759),1,13073030103,PUD
54,077H189,1992,3750,649900,5,2023,8,2023-8,173.3066667,POINT (675970.7183826824 1293105.7787398582),1,13073030103,PUD
